StockCode,Description,TotalSales,Total_Quantity,Unique_Customers,Total_Transactions,Avg_Price
21891,TRADITIONAL WOODEN SKIPPING ROPE,9998.32,7904,264,340,1.2649696356275304
21892,TRADITIONAL WOODEN CATCH CUP GAME ,3651.75,2910,235,295,1.2548969072164948
21894,POTTING SHED SEED ENVELOPES,604.48,471,57,71,1.2833970276008493
21895,POTTING SHED SOW 'N' GROW SET,4.25,1,1,1,4.25
21896,POTTING SHED TWINE,2152.2000000000003,946,79,89,2.275052854122622
21897,POTTING SHED CANDLE CITRONELLA,1250.82,402,1,2,3.1114925373134326
21898,POTTING SHED ROSE CANDLE,1423.03,445,6,7,3.197820224719101
21899,GARAGE KEY FOB,489.20000000000005,730,81,115,0.67013698630137
21899,"KEY FOB , GARAGE DESIGN",1140.6200000000001,1870,89,103,0.609957219251337
21900,"KEY FOB , SHED",1959.13,3081,166,265,0.6358747160012983
21901,"KEY FOB , BACK DOOR ",1140.26,1742,143,234,0.6545694603903559
21902,"KEY FOB , FRONT  DOOR ",1168.2800000000002,1902,114,161,0.6142376445846478
21903,MAN FLU METAL SIGN,2356.38,1127,113,153,2.0908429458740017
21904,HOUSE WRECKING METAL SIGN ,105.0,50,21,23,2.1
21905,MORE BUTTER METAL SIGN ,705.3100000000001,684,84,110,1.031154970760234
21906,PHARMACIE FIRST AID TIN,3220.81,483,71,94,6.668343685300207
21907,I'M ON HOLIDAY METAL SIGN,4757.35,2292,208,329,2.0756326352530543
21908,CHOCOLATE THIS WAY METAL SIGN,7204.320000000001,3633,220,374,1.9830222956234518
21910,WAY OUT METAL SIGN ,59.39999999999999,36,8,8,1.6499999999999997
21911,GARDEN METAL SIGN ,173.24999999999997,105,18,20,1.6499999999999997
21912,VINTAGE SNAKES & LADDERS,5508.53,1571,201,268,3.5063844684914067
21913,VINTAGE SEASIDE JIGSAW PUZZLES,1142.53,305,72,89,3.746
21914,BLUE HARMONICA IN BOX ,9218.88,7431,306,517,1.2405974969721436
21915,RED  HARMONICA IN BOX ,23756.43,20945,349,561,1.1342291716400095
21916,SET 12 RETRO WHITE CHALK STICKS,1771.12,4362,156,248,0.40603392939018795
21917,SET 12 KIDS  WHITE CHALK STICKS,1651.14,4090,132,186,0.40370171149144257
21918,SET 12 KIDS COLOUR  CHALK STICKS,2814.2799999999997,7012,193,282,0.40135196805476325
21922,UNION STRIPE WITH FRINGE  HAMMOCK,5674.14,758,113,167,7.485672823218998
21925,UNION STRIPE CUSHION COVER ,503.75,403,38,65,1.25
21926,RED/CREAM STRIPE CUSHION COVER ,509.9,414,35,60,1.2316425120772947
21927,BLUE/CREAM STRIPE CUSHION COVER ,769.9,622,41,98,1.237781350482315
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14626.73,7754,232,451,1.886346401857106
21928,JUMBO BAG SCANDINAVIAN PAISLEY,3426.75,1945,76,91,1.7618251928020565
21929,JUMBO BAG PINK VINTAGE PAISLEY,18427.9,9888,308,602,1.8636630258899678
21930,JUMBO STORAGE BAG SKULLS,10865.83,5694,220,471,1.9082946961714085
21931,JUMBO STORAGE BAG SUKI,21784.84,11513,333,774,1.8921949101016242
21932,SCANDINAVIAN PAISLEY PICNIC BAG,4357.06,2463,218,319,1.7690052781161187
21933,PINK VINTAGE PAISLEY PICNIC BAG,4289.26,2406,198,283,1.782734829592685
21934,SKULL SHOULDER BAG,2081.2,1288,85,143,1.61583850931677
21935,SUKI  SHOULDER BAG,2824.37,1763,121,204,1.6020249574588767
21936,RED RETROSPOT PICNIC BAG,10365.76,3756,223,385,2.7597870074547393
21937,STRAWBERRY   PICNIC BAG,4430.5,1590,146,206,2.786477987421384
21942,SKULLS DESIGN FLANNEL,134.54999999999998,161,14,23,0.8357142857142856
21943,CAKES AND RABBITS DESIGN FLANNEL ,48.449999999999996,57,7,10,0.85
21944,KITTENS DESIGN FLANNEL,177.88,232,24,33,0.7667241379310344
21945,STRAWBERRIES  DESIGN FLANNEL ,190.79,225,27,29,0.8479555555555556
21946,PARTY TIME DESIGN FLANNEL,58.9,72,8,11,0.8180555555555555
21947,SET OF 6 HEART CHOPSTICKS,741.48,594,62,82,1.2482828282828282
21948,SET OF 6 CAKE CHOPSTICKS,541.82,417,37,54,1.2993285371702639
21949,SET OF 6 STRAWBERRY CHOPSTICKS,725.49,613,46,59,1.1835073409461665
21955,DOORMAT UNION JACK GUNS AND ROSES,6619.41,1157,108,155,5.721184096802074
21967,PACK OF 12 SKULL TISSUES,1504.9799999999998,5162,129,173,0.2915497869043006
21972,SET OF 36 DINOSAUR PAPER DOILIES,423.4,292,35,39,1.45
21973,SET OF 36 MUSHROOM PAPER DOILIES,230.54999999999998,159,25,30,1.45
21974,SET OF 36 PAISLEY FLOWER DOILIES,2942.5099999999998,2036,177,229,1.4452406679764243
21975,PACK OF 60 DINOSAUR CAKE CASES,5919.280000000001,12106,287,529,0.4889542375681481
21976,PACK OF 60 MUSHROOM CAKE CASES,2496.08,4936,181,276,0.5056888168557536
21977,PACK OF 60 PINK PAISLEY CAKE CASES,11611.0,24230,410,669,0.4791993396615766
21980,PACK OF 12 RED RETROSPOT TISSUES ,2002.7299999999998,6521,192,250,0.30712007360834226
21981,PACK OF 12 WOODLAND TISSUES ,1508.87,5281,143,190,0.28571672031812156
21982,PACK OF 12 SUKI TISSUES ,1995.05,6907,182,259,0.28884465035471263
21983,PACK OF 12 BLUE PAISLEY TISSUES ,712.7299999999999,2223,98,124,0.32061628430049477
21984,PACK OF 12 PINK PAISLEY TISSUES ,999.5999999999999,3294,123,157,0.30346083788706735
21985,PACK OF 12 HEARTS DESIGN TISSUES ,2542.17,8541,262,354,0.29764313312258517
21986,PACK OF 12 PINK POLKADOT TISSUES,1129.79,3985,118,155,0.28351066499372646
21987,PACK OF 6 SKULL PAPER CUPS,1254.74,2050,106,147,0.6120682926829268
21988,PACK OF 6 SKULL PAPER PLATES,1663.3,2194,101,147,0.7581130355515041
21989,PACK OF 20 SKULL PAPER NAPKINS,1672.6899999999998,2065,130,205,0.8100193704600483
21990,MODERN FLORAL STATIONERY SET,1734.6,1212,127,177,1.4311881188118811
21991,BOHEMIAN COLLAGE STATIONERY SET,675.53,471,80,102,1.4342462845010615
21992,VINTAGE PAISLEY STATIONERY SET,1640.29,1151,160,199,1.425099913119027
21993,FLORAL FOLK STATIONERY SET,1927.3500000000001,1360,151,205,1.4171691176470589
22021,BLUE FELT EASTER EGG BASKET,577.4999999999999,350,60,64,1.6499999999999997
22023,EMPIRE BIRTHDAY CARD,476.25,1131,71,84,0.42108753315649866
22024,RAINY LADIES BIRTHDAY CARD,918.91,2280,90,129,0.40303070175438593
22025,RING OF ROSES BIRTHDAY CARD,702.0,1764,73,87,0.3979591836734694
22026,BANQUET BIRTHDAY  CARD  ,642.24,1560,71,100,0.4116923076923077
22027,TEA PARTY BIRTHDAY CARD,1692.71,4141,180,262,0.40876841342670855
22028,PENNY FARTHING BIRTHDAY CARD,1198.45,2903,124,185,0.41283155356527734
22029,SPACEBOY BIRTHDAY CARD,3120.14,7834,234,394,0.39828184835333164
22030,SWALLOWS GREETING CARD,2120.55,5337,179,242,0.39732996065205173
22031,BOTANICAL LAVENDER BIRTHDAY CARD,158.61,363,28,32,0.4369421487603306
22032,BOTANICAL LILY GREETING CARD,151.62,361,28,31,0.42000000000000004
22033,BOTANICAL ROSE GREETING CARD,141.12,336,20,21,0.42000000000000004
22034,ROBIN CHRISTMAS CARD,1.26,3,1,1,0.42
22035,VINTAGE CARAVAN GREETING CARD ,569.02,1394,65,87,0.4081922525107604
22037,ROBOT BIRTHDAY CARD,1552.96,3747,173,257,0.41445423005070725
22038,BOTANICAL LAVENDER GIFT WRAP ,199.5,475,19,19,0.42
22039,BOTANICAL LILY GIFT WRAP,105.0,250,6,7,0.42
22040,BOTANICAL ROSE GIFT WRAP,304.5,725,27,28,0.42
22041,"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812,73,196,2.2168992654774398
22042,CHRISTMAS CARD SINGING ANGEL,151.2,360,24,25,0.42
22043,CHRISTMAS CARD SCREEN PRINT ,283.32,1188,40,43,0.23848484848484847
22044,CHRISTMAS CARD STACK OF PRESENTS,196.44,816,35,36,0.24073529411764705
22045,SPACEBOY GIFT WRAP,2652.34,6477,148,206,0.40950131233595805
22046,TEA PARTY  WRAPPING PAPER ,929.0,2250,62,75,0.4128888888888889
22047,EMPIRE GIFT WRAP,1363.0,3350,93,105,0.40686567164179105
22048,BIRTHDAY BANQUET GIFT WRAP,393.5,975,32,32,0.4035897435897436
22049,WRAP CHRISTMAS SCREEN PRINT,270.5,1000,26,31,0.2705
22050,PINK PAISLEY ROSE GIFT WRAP,498.5,1225,37,40,0.4069387755102041
22051,BLUE SCANDINAVIAN PAISLEY WRAP,409.5,975,36,39,0.42
22052,VINTAGE CARAVAN GIFT WRAP,239.82,571,22,23,0.42
22053,EMPIRE DESIGN ROSETTE,3596.4199999999996,4236,23,26,0.8490132200188857
22055,MINI CAKE STAND  HANGING STRAWBERY,1661.78,1246,102,142,1.3336918138041733
22057,CERAMIC PLATE STRAWBERRY DESIGN,648.18,578,46,56,1.1214186851211072
22059,CERAMIC STRAWBERRY DESIGN MUG,1960.47,1739,85,142,1.1273548016101207
22060,LARGE CAKE STAND HANGING HEARTS,1111.05,231,31,34,4.809740259740259
22061,LARGE CAKE STAND  HANGING STRAWBERY,3854.68,564,86,129,6.834539007092198
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,599.74,554,43,52,1.0825631768953068
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,1106.5500000000002,537,56,81,2.0606145251396653
22064,PINK DOUGHNUT TRINKET POT ,2132.7,1602,85,164,1.3312734082397002
22065,CHRISTMAS PUDDING TRINKET POT ,2883.44,6418,132,164,0.44927391710813336
22066,LOVE HEART TRINKET POT,1029.1399999999999,2232,99,131,0.46108422939068094
22067,CHOC TRUFFLE GOLD TRINKET POT ,562.53,385,32,48,1.461116883116883
22068,BLACK PIRATE TREASURE CHEST,502.37999999999994,432,56,81,1.1629166666666666
22069,BROWN  PIRATE TREASURE CHEST ,237.47999999999996,218,26,37,1.0893577981651374
22070,SMALL RED RETROSPOT MUG IN BOX ,2030.68,873,62,84,2.326093928980527
22071,SMALL WHITE RETROSPOT MUG IN BOX ,1295.04,710,64,72,1.8239999999999998
22072,RED RETROSPOT TEA CUP AND SAUCER ,2519.19,807,90,139,3.1216728624535315
22073,RED RETROSPOT STORAGE JAR,1067.1,298,38,45,3.580872483221476
22074,6 RIBBONS SHIMMERING PINKS ,772.9399999999999,1000,61,75,0.77294
22075,6 RIBBONS ELEGANT CHRISTMAS ,2004.9199999999998,1538,96,120,1.3035890767230167
22076,6 RIBBONS EMPIRE  ,1302.7199999999998,1034,96,113,1.2598839458413924
22077,6 RIBBONS RUSTIC CHARM,14969.839999999998,8594,413,726,1.7418943448917847
22078,RIBBON REEL LACE DESIGN ,2584.8,1288,105,143,2.006832298136646
22079,RIBBON REEL HEARTS DESIGN ,2808.89,1701,190,225,1.6513168724279834
22080,RIBBON REEL POLKADOTS ,1877.55,1167,116,126,1.6088688946015424
22081,RIBBON REEL FLORA + FAUNA ,978.37,585,74,89,1.6724273504273504
22082,RIBBON REEL STRIPES DESIGN ,4154.33,2525,250,334,1.645279207920792
22083,PAPER CHAIN KIT RETROSPOT,11935.310000000001,4265,294,444,2.7984314185228607
22084,PAPER CHAIN KIT EMPIRE,13411.550000000001,4885,277,374,2.745455475946776
22085,PAPER CHAIN KIT SKULLS ,1415.65,507,62,73,2.792209072978304
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005,15591,613,980,2.7313276890513762
22087,PAPER BUNTING WHITE LACE,10243.400000000001,3772,155,257,2.7156415694591733
22088,PAPER BUNTING COLOURED LACE,4683.1,1698,115,169,2.7580094228504124
22089,PAPER BUNTING VINTAGE PAISLEY,3395.55,1189,142,180,2.855803195962994
22090,PAPER BUNTING RETROSPOT,18785.99,6877,325,567,2.731712956230915
22091,EMPIRE TISSUE BOX,919.6700000000001,1937,97,130,0.4747909137842024
22092,BLUE PAISLEY TISSUE BOX,311.56,666,75,88,0.4678078078078078
22093,MOTORING TISSUE BOX,804.8100000000001,1823,114,153,0.4414755896873286
22094,RED RETROSPOT TISSUE BOX,930.0400000000001,2081,117,145,0.4469197501201346
22095,LADS ONLY TISSUE BOX,1427.59,1571,72,102,0.9087141947803946
22096,PINK PAISLEY SQUARE TISSUE BOX ,561.75,1357,89,109,0.41396462785556376
22097,SWALLOW SQUARE TISSUE BOX,685.5500000000001,1577,103,132,0.4347178186429931
22098,BOUDOIR SQUARE TISSUE BOX,910.08,1955,98,143,0.4655140664961637
22099,CARAVAN SQUARE TISSUE BOX,703.57,1399,96,122,0.5029092208720515
22100,SKULLS SQUARE TISSUE BOX,304.17,727,34,38,0.4183906464924347
22101,MIRROR MOSAIC VOTIVE HOLDER,631.62,837,21,24,0.7546236559139785
22102,MIRROR MOSAIC T-LIGHT HOLDER ,715.05,1533,13,18,0.4664383561643835
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,694.29,1153,12,15,0.6021595836947095
22104,MIRROR MOSAIC CANDLE PLATE,120.07,151,9,12,0.7951655629139073
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,566.5,506,9,10,1.1195652173913044
22106,MIRROR MOSAIC HURRICANE LAMP ,584.9,286,9,12,2.045104895104895
22107,PIZZA PLATE IN BOX,962.48,291,44,69,3.307491408934708
22108,PING! MICROWAVE PLATE,246.53,101,16,28,2.440891089108911
22109,FULL ENGLISH BREAKFAST PLATE,4985.55,1381,100,158,3.610101375814627
22110,BIRD HOUSE HOT WATER BOTTLE,1562.06,617,116,154,2.531701782820097
22111,SCOTTIE DOG HOT WATER BOTTLE,20049.9,4248,425,656,4.719844632768362
22112,CHOCOLATE HOT WATER BOTTLE,23584.64,5152,382,700,4.577763975155279
22113,GREY HEART HOT WATER BOTTLE,12148.9,3145,337,511,3.8629252782193957
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15386.07,3729,325,514,4.126057924376508
22115,METAL SIGN EMPIRE TEA,1706.8100000000002,1495,152,183,1.1416789297658865
22116,METAL SIGN HIS DINNER IS SERVED,493.39000000000004,505,65,90,0.9770099009900991
22117,METAL SIGN HER DINNER IS SERVED ,3802.5,1290,58,72,2.947674418604651
22118,JOY WOODEN BLOCK LETTERS,742.63,217,67,78,3.422258064516129
22119,PEACE WOODEN BLOCK LETTERS,1699.66,342,82,103,4.969766081871345
22120,WELCOME  WOODEN BLOCK LETTERS,4826.67,502,121,167,9.614880478087649
22121,NOEL WOODEN BLOCK LETTERS ,1924.94,332,94,114,5.7980120481927715
22123,PING MICROWAVE APRON,793.5999999999999,442,59,72,1.7954751131221718
22124,SET OF 2 TEA TOWELS PING MICROWAVE,127.42,78,14,23,1.6335897435897435
22125,UNION JACK HOT WATER BOTTLE ,23.8,4,1,1,5.95
22127,PARTY CONES CARNIVAL ASSORTED,479.7,402,20,20,1.1932835820895522
22128,PARTY CONES CANDY ASSORTED,2042.69,1729,62,72,1.1814285714285715
22129,PARTY CONES CANDY DECORATION,233.27999999999997,296,6,8,0.788108108108108
22129,PARTY CONES CANDY TREE DECORATION,552.18,690,27,28,0.8002608695652174
22130,PARTY CONE CHRISTMAS DECORATION ,1260.53,1505,78,88,0.8375614617940199
22131,FOOD CONTAINER SET 3 LOVE HEART ,3358.72,1884,115,180,1.78276008492569
22132,RED LOVE HEART SHAPE CUP,772.91,935,60,83,0.8266417112299465
22133,PINK LOVE HEART SHAPE CUP,585.78,702,41,60,0.8344444444444444
22134,LADLE LOVE HEART RED ,2.52,6,1,1,0.42
22134,MINI LADLE LOVE HEART RED ,252.24,630,28,54,0.4003809523809524
22135,LADLE LOVE HEART PINK,7.98,19,3,3,0.42000000000000004
22135,MINI LADLE LOVE HEART PINK,106.56,242,20,45,0.4403305785123967
22136,LOVE HEART SOCK HANGER,530.25,333,37,50,1.5923423423423424
22137,BATHROOM SET LOVE HEART DESIGN,191.0,68,9,11,2.8088235294117645
22138,BAKING SET 9 PIECE RETROSPOT ,22953.100000000002,4786,581,854,4.795883827831175
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20426.23,4239,488,823,4.818643548006605
22141,CHRISTMAS CRAFT TREE TOP ANGEL,5015.080000000001,2443,256,348,2.0528366762177654
22142,CHRISTMAS CRAFT WHITE FAIRY ,4334.94,3070,259,321,1.4120325732899022
22144,CHRISTMAS CRAFT LITTLE FRIENDS,7109.200000000001,3459,319,421,2.0552760913558834
22145,CHRISTMAS CRAFT HEART STOCKING ,63.0,30,1,1,2.1
22146,EASTER CRAFT IVY WREATH WITH CHICK,1.95,1,1,1,1.95
22147,FELTCRAFT BUTTERFLY HEARTS,8308.75,6123,287,436,1.3569737056998203
22148,EASTER CRAFT 4 CHICKS ,3355.35,1813,148,159,1.8507170435741864
22149,FELTCRAFT 6 FLOWER FRIENDS,11549.59,5882,337,461,1.9635481128867733
22150,3 STRIPEY MICE FELTCRAFT,5460.5,2914,288,402,1.8738846945778997
22151,PLACE SETTING WHITE HEART,5912.19,14853,174,289,0.3980468592203595
22152,PLACE SETTING WHITE STAR,967.13,2350,70,93,0.4115446808510638
22153,ANGEL DECORATION STARS ON DRESS,987.42,2399,61,86,0.41159649854105873
22154,ANGEL DECORATION 3 BUTTONS ,1455.84,3528,87,111,0.41265306122448975
22155,STAR DECORATION RUSTIC,924.42,2201,67,85,0.42
22156,HEART DECORATION WITH PEARLS ,1586.4599999999998,1873,106,152,0.8470154831820608
22157,ANGEL DECORATION WITH LACE PADDED,180.2,212,11,11,0.85
22158,3 HEARTS HANGING DECORATION RUSTIC,8013.71,2845,196,261,2.8167697715289983
22161,HEART DECORATION RUSTIC HANGING ,855.9200000000001,4138,118,153,0.20684388593523442
22162,HEART GARLAND RUSTIC PADDED,312.7,106,21,27,2.9499999999999997
22163,HEART STRING MEMO HOLDER HANGING,580.94,626,41,49,0.9280191693290736
22164,STRING OF STARS CARD HOLDER,209.45000000000005,71,11,12,2.9500000000000006
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1490.65,267,27,38,5.582958801498128
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,489.9000000000001,122,13,16,4.015573770491804
22167, OVAL WALL MIRROR DIAMANTE ,1050.0,120,41,58,8.75
22168,ORGANISER WOOD ANTIQUE WHITE ,1171.3,139,69,75,8.42661870503597
22169,FAMILY ALBUM WHITE PICTURE FRAME,8408.14,1074,165,286,7.828808193668529
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6378.150000000001,1023,142,225,6.2347507331378305
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12160.08,1706,172,304,7.127831184056272
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,6267.39,2149,210,337,2.9164215914378784
22174,PHOTO CUBE,3997.91,2667,104,169,1.499028871391076
22175,PINK OWL SOFT TOY,2379.05,839,84,139,2.835578069129917
22176,BLUE OWL SOFT TOY,1420.4,488,62,98,2.9106557377049183
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.36,22404,403,815,1.2825995357971791
22179,SET 10 LIGHTS NIGHT OWL,2593.65,407,53,77,6.3726044226044225
22179,SET 10 NIGHT OWL LIGHTS,2510.34,388,59,101,6.469948453608247
22180,RETROSPOT LAMP,2922.85,299,92,131,9.775418060200668
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,477.96999999999997,577,40,46,0.828370883882149
22182,CAKE STAND VICTORIAN FILIGREE SMALL,713.8000000000001,204,30,36,3.4990196078431377
22183,CAKE STAND VICTORIAN FILIGREE MED,466.95000000000005,74,16,17,6.310135135135136
22184,CAKE STAND VICTORIAN FILIGREE LARGE,68.0,8,3,4,8.5
22185,SLATE TILE NATURAL HANGING,1974.1999999999998,1390,111,126,1.4202877697841725
22186,RED STAR CARD HOLDER,1723.79,801,111,118,2.152047440699126
22187,GREEN CHRISTMAS TREE CARD HOLDER,2562.27,1183,123,145,2.1659087066779374
22188,BLACK HEART CARD HOLDER,12257.95,4843,123,166,2.531065455296304
22189,CREAM HEART CARD HOLDER,22687.920000000002,8188,274,452,2.770874450415242
22190,LOCAL CAFE MUG,785.13,566,38,52,1.3871554770318022
22191,IVORY DINER WALL CLOCK,11527.7,1419,239,391,8.123819591261451
22192,BLUE DINER WALL CLOCK,7528.93,907,179,338,8.300915104740904
22193,RED DINER WALL CLOCK,11048.890000000001,1349,206,416,8.190429948109712
22194,BLACK DINER WALL CLOCK,450.5,53,24,33,8.5
22195,LARGE HEART MEASURING SPOONS,2836.9199999999996,1696,148,220,1.672712264150943
22196,SMALL HEART MEASURING SPOONS,2008.6299999999999,2379,146,247,0.8443169398907103
22197,POPCORN HOLDER,23417.51,30919,295,632,0.7573825156052912
22197,SMALL POPCORN HOLDER,13789.369999999999,18241,228,403,0.7559547173948796
22198,LARGE POPCORN HOLDER ,1370.4499999999998,873,42,53,1.569816723940435
22199,FRYING PAN RED POLKADOT ,4.25,1,1,1,4.25
22199,FRYING PAN RED RETROSPOT,1323.0,382,71,97,3.4633507853403143
22200,FRYING PAN PINK POLKADOT,1209.54,326,51,76,3.710245398773006
22201,FRYING PAN BLUE POLKADOT,366.0,108,29,40,3.388888888888889
22202,MILK PAN PINK POLKADOT,146.25,39,16,17,3.75
22203,MILK PAN RED RETROSPOT,996.13,310,75,91,3.213322580645161
22204,MILK PAN BLUE POLKADOT,302.5,96,23,30,3.1510416666666665
22207,FRYING PAN UNION FLAG,4727.11,1199,68,113,3.9425437864887405
22208,WOOD STAMP SET THANK YOU,1229.12,1283,148,199,0.9580046765393608
22209,WOOD STAMP SET HAPPY BIRTHDAY,798.67,820,100,121,0.9739878048780487
22210,WOOD STAMP SET BEST WISHES,820.91,912,117,142,0.9001206140350877
22211,WOOD STAMP SET FLOWERS,806.7299999999999,782,101,126,1.031624040920716
22212,FOUR HOOK  WHITE LOVEBIRDS,2904.8700000000003,1416,145,253,2.0514618644067797
22214,CANDLE PLATE LACE WHITE,246.7,114,18,21,2.164035087719298
22215,CAKE STAND WHITE TWO TIER LACE,2254.5,330,71,89,6.831818181818182
22216,T-LIGHT HOLDER WHITE LACE,182.31,327,17,20,0.5575229357798165
22217,T-LIGHT HOLDER HANGING LACE,646.26,764,63,64,0.8458900523560209
22218,CAKE STAND LACE WHITE,4.25,1,1,1,4.25
22219,LOVEBIRD HANGING DECORATION WHITE ,2814.37,3367,190,311,0.8358687258687258
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,1489.55,213,64,74,6.993192488262911
22221,CAKE STAND LOVEBIRD 2 TIER PINK,964.4,124,37,44,7.77741935483871
22222,CAKE PLATE LOVEBIRD WHITE,2599.2,824,104,149,3.154368932038835
22223,CAKE PLATE LOVEBIRD PINK,902.85,315,34,42,2.8661904761904764
22224,WHITE LOVEBIRD LANTERN,1970.65,687,89,115,2.868486171761281
22227,HANGING HEART MIRROR DECORATION ,1276.8500000000001,1969,83,170,0.6484763839512444
22228,BUNNY WOODEN PAINTED WITH BIRD ,597.31,851,81,93,0.7018918918918918
22229,BUNNY WOODEN PAINTED WITH FLOWER ,334.27,495,54,62,0.6752929292929293
22230,JIGSAW TREE WITH WATERING CAN,356.16999999999996,925,50,63,0.38504864864864863
22231,JIGSAW TREE WITH BIRDHOUSE,821.13,867,93,106,0.9470934256055363
22232,JIGSAW TOADSTOOLS 3 PIECE,506.42999999999995,623,54,61,0.8128892455858747
22233,JIGSAW RABBIT AND BIRDHOUSE,514.6999999999999,540,70,77,0.953148148148148
22236,CAKE STAND 3 TIER MAGIC GARDEN,3624.5999999999995,308,67,88,11.768181818181816
22241,GARLAND WOODEN HAPPY EASTER,2147.78,1762,125,165,1.2189443813847902
22242,5 HOOK HANGER MAGIC TOADSTOOL,964.3499999999999,631,23,27,1.5282884310618066
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,4595.099999999999,3054,71,108,1.5046168958742632
22244,3 HOOK HANGER MAGIC GARDEN,2911.6499999999996,1615,66,94,1.802879256965944
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",965.26,1198,44,56,0.8057262103505843
22246,"GARLAND, MAGIC GARDEN 1.8M",23.4,12,1,1,1.95
22246,MAGIC GARDEN FELT GARLAND ,531.78,266,30,35,1.999172932330827
22247,BUNNY DECORATION MAGIC GARDEN,406.39,483,54,56,0.8413871635610766
22248,DECORATION  PINK CHICK MAGIC GARDEN,320.53999999999996,382,43,44,0.839109947643979
22249,DECORATION WHITE CHICK MAGIC GARDEN,530.49,629,73,75,0.8433863275039746
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,375.78999999999996,447,57,57,0.8406935123042505
22251,BIRDHOUSE DECORATION MAGIC GARDEN,642.94,518,66,72,1.2411969111969112
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,761.57,643,48,67,1.1844012441679628
22254,FELT TOADSTOOL LARGE,706.02,594,33,41,1.1885858585858586
22255,FELT TOADSTOOL  SMALL,460.7,542,33,44,0.85
22256,FELT FARM ANIMAL CHICKEN,321.25,257,32,33,1.25
22257,FELT FARM ANIMAL SHEEP,194.39,283,16,16,0.6868904593639575
22258,FELT FARM ANIMAL RABBIT,543.9399999999999,722,35,36,0.7533795013850415
22259,FELT FARM ANIMAL HEN,240.96,384,16,16,0.6275000000000001
22260,FELT EGG COSY BLUE RABBIT ,351.62,410,37,47,0.857609756097561
22261,FELT EGG COSY WHITE RABBIT ,442.35999999999996,514,61,70,0.8606225680933851
22262,FELT EGG COSY CHICKEN,785.12,920,62,90,0.8533913043478261
22263,FELT EGG COSY LADYBIRD ,124.83,255,14,18,0.4895294117647059
22264,FELT FARM ANIMAL WHITE BUNNY ,517.07,1391,38,40,0.37172537742631206
22265,EASTER DECORATION NATURAL CHICK,331.50000000000006,510,42,48,0.6500000000000001
22266,EASTER DECORATION HANGING BUNNY,562.7,1860,69,78,0.30252688172043013
22267,EASTER DECORATION EGG BUNNY ,654.7,828,67,75,0.7907004830917875
22268,DECORATION SITTING BUNNY,257.61,1335,32,41,0.19296629213483146
22268,EASTER DECORATION SITTING BUNNY,407.13,501,44,54,0.8126347305389221
22269,EGG CUP NATURAL CHICKEN,520.48,840,62,87,0.6196190476190476
22270,HAPPY EASTER HANGING DECORATION,770.22,210,35,42,3.6677142857142857
22271,FELTCRAFT DOLL ROSIE,4702.120000000001,1648,181,256,2.8532281553398064
22272,FELTCRAFT DOLL MARIA,553.1,194,43,46,2.8510309278350516
22273,FELTCRAFT DOLL MOLLY,11748.24,4464,211,293,2.631774193548387
22274,FELTCRAFT DOLL EMILY,3711.5000000000005,1294,168,231,2.868238021638331
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,527.85,69,1,1,7.65
22276,WASH BAG VINTAGE ROSE PAISLEY,645.15,253,53,62,2.55
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,728.62,355,54,63,2.052450704225352
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1202.8500000000001,243,59,82,4.95
22279,POCKET BAG BLUE PAISLEY RED SPOT,574.66,477,43,46,1.2047379454926623
22280,POCKET BAG PINK PAISELY BROWN SPOT,223.63,176,26,30,1.270625
22281,EASTER TREE YELLOW BIRDS,642.6,108,35,43,5.95
22282,12 EGG HOUSE PAINTED WOOD,1425.27,111,39,64,12.84027027027027
22283,6 EGG HOUSE PAINTED WOOD,2043.04,256,82,117,7.980625
22284,HEN HOUSE DECORATION,1442.1,874,78,99,1.65
22285,"DECORATION HEN ON NEST, HANGING",64.35,39,3,3,1.65
22285,HANGING HEN ON NEST DECORATION,1310.1,794,72,87,1.65
22286,"DECORATION , WOBBLY RABBIT , METAL ",448.79999999999995,272,30,34,1.65
